,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Colombia,CU,20.9881,-77.4297,75.92,73,6,10.2,clear sky
329,Turukhansk,RU,65.8167,87.9833,42.17,92,100,7.47,light rain
330,Ichhawar,IN,23.0167,77.0167,104.09,14,99,7.65,overcast clouds
331,Gogrial,SS,8.5332,28.1004,101.62,24,58,2.06,broken clouds
332,Harper,LR,4.375,-7.7169,85.21,71,97,9.01,light rain
333,Grand-Santi,GF,4.25,-54.3833,78.01,88,95,2.06,overcast clouds
334,Kantabanji,IN,20.4833,82.9167,100.17,15,61,3.62,broken clouds
335,Okulovka,RU,58.4008,33.2908,64.49,47,19,9.17,few clouds
336,Kangasala,FI,61.4638,24.076,62.01,63,40,13.8,scattered clouds
337,Clearwater,US,27.9659,-82.8001,82.06,81,1,1.01,clear sky
338,Ambilobe,MG,-13.2,49.05,82.47,59,39,4.45,scattered clouds
339,Bletchley,GB,51.9933,-0.7347,68.38,57,40,6.26,scattered clouds
340,Leh,IN,34.1667,77.5833,56.14,17,21,7.4,few clouds
341,Avallon,FR,47.4833,3.9,66.13,62,22,9.91,few clouds
342,Alakurtti,RU,66.9672,30.3491,41.63,46,100,12.55,overcast clouds
343,Soyo,AO,-6.1349,12.3689,86.05,67,75,9.91,broken clouds
344,Ngora,UG,1.4314,33.7772,82.76,46,100,3.62,overcast clouds
345,Cornwall,CA,45.0181,-74.7281,42.89,52,1,7.05,clear sky
